Time,Voltage
1.77E-02,10.6
1.77E-02,10.4
1.77E-02,10.6
1.77E-02,10.4
1.77E-02,10
1.77E-02,10.2
1.77E-02,10.6
1.77E-02,10.6
1.77E-02,10.6
1.77E-02,10.2
1.78E-02,10.2
1.78E-02,10.2
1.78E-02,10.4
1.78E-02,10.6
1.78E-02,10.8
1.78E-02,10.6
1.78E-02,10.4
1.78E-02,10.6
1.78E-02,10.2
1.78E-02,10.6
1.78E-02,10.2
1.78E-02,10.8
1.78E-02,11.6
1.78E-02,10.2
1.78E-02,10.6
1.78E-02,10.4
1.78E-02,10.8
1.78E-02,10.4
1.78E-02,10.6
1.78E-02,10.4
1.78E-02,10.6
1.78E-02,10.6
1.78E-02,10.6
1.78E-02,10
1.78E-02,10.6
1.79E-02,10
1.79E-02,11
1.79E-02,10.6
1.79E-02,11
1.79E-02,10.2
1.79E-02,10.4
1.79E-02,10.2
1.79E-02,10.4
1.79E-02,10.2
1.79E-02,10.4
1.79E-02,10.4
1.79E-02,10.4
1.79E-02,10.6
1.79E-02,10.6
1.79E-02,10.2
1.79E-02,10.6
1.79E-02,10.6
1.79E-02,10.4
1.79E-02,10.4
1.79E-02,10.6
1.79E-02,10.6
1.79E-02,10.2
1.79E-02,10.2
1.79E-02,10.4
1.79E-02,10.2
1.80E-02,10.8
1.80E-02,10.6
1.80E-02,10.2
1.80E-02,10.4
1.80E-02,10.6
1.80E-02,10.6
1.80E-02,10.4
1.80E-02,10.4
1.80E-02,10.4
1.80E-02,10.6
1.80E-02,10.4
1.80E-02,10.2
1.80E-02,10.6
1.80E-02,10.4
1.80E-02,11
1.80E-02,10
1.80E-02,10.4
1.80E-02,10.4
1.80E-02,10.2
1.80E-02,10.8
1.80E-02,10.2
1.80E-02,9.8
1.80E-02,10.6
1.80E-02,10.6
1.80E-02,10.2
1.81E-02,10.8
1.81E-02,10.8
1.81E-02,10.2
1.81E-02,10.4
1.81E-02,10.6
1.81E-02,10.4
1.81E-02,10.6
1.81E-02,10.2
1.81E-02,10.2
1.81E-02,10.4
1.81E-02,10.2
1.81E-02,10.6
1.81E-02,10.2
1.81E-02,10.2
1.81E-02,10.6
