Amplitude	Delay Time	width	Residual
2.366987510E-3	2.330000000E-3	5.787319284E-5	8.202978132E-9
1.982234811E-3	3.330000000E-3	6.486402619E-5	1.189475316E-8
1.413399422E-3	4.330000000E-3	7.010199969E-5	9.102613528E-9
8.984616219E-4	5.330000000E-3	7.826156612E-5	9.886572300E-9
4.770410034E-4	6.330000000E-3	8.577560558E-5	1.731606918E-8
1.243675434E-4	7.330000000E-3	2.206730180E-3	3.448245123E-8
5.299856786E-5	8.330000000E-3	1.279321615E-2	9.567778618E-8
-3.719338641E-5	9.330000000E-3	3.433181030E-2	1.800701112E-7
-1.570572778E-3	1.033000000E-2	3.068010573E-5	5.218222384E-9
-1.883169451E-3	1.133000000E-2	3.246906127E-5	6.574171487E-9
-2.156979393E-3	1.233000000E-2	3.476875736E-5	1.518638133E-8
-2.395896564E-3	1.333000000E-2	3.645609709E-5	1.714292156E-8
-2.634591305E-3	1.433000000E-2	3.820610337E-5	2.613979048E-8
-2.809065627E-3	1.533000000E-2	3.822657240E-5	2.851151919E-8
-3.023368468E-3	1.633000000E-2	3.975915140E-5	3.648268865E-8
-3.123763117E-3	1.733000000E-2	3.830290897E-5	2.433138214E-8
-3.300493111E-3	1.833000000E-2	3.968532622E-5	2.735994355E-8
-3.487395074E-3	1.933000000E-2	4.103079566E-5	4.680401194E-8
-3.515493074E-3	2.033000000E-2	3.974422546E-5	3.439868338E-8
-3.640635687E-3	2.133000000E-2	4.048268659E-5	4.023941829E-8
-3.700540694E-3	2.233000000E-2	4.032924106E-5	3.691453063E-8
-3.774822261E-3	2.333000000E-2	4.046213082E-5	3.759428872E-8
-3.852325377E-3	2.433000000E-2	4.093253991E-5	4.241174980E-8
-3.996046316E-3	2.533000000E-2	4.181369916E-5	5.213768510E-8
-3.988680585E-3	2.633000000E-2	4.078510764E-5	3.715484278E-8
-4.078380636E-3	2.733000000E-2	4.117822473E-5	4.986383378E-8
-4.016598203E-3	2.833000000E-2	4.097247506E-5	4.003507148E-8
-4.071533274E-3	2.933000000E-2	4.135521658E-5	4.374822705E-8
-4.065875797E-3	3.033000000E-2	4.161277250E-5	4.256950949E-8
-4.092991528E-3	3.133000000E-2	4.120053148E-5	4.637642335E-8
-4.199097261E-3	3.233000000E-2	4.147574314E-5	5.330049005E-8
-4.180122956E-3	3.333000000E-2	4.234072407E-5	5.308796185E-8
-4.239433976E-3	3.433000000E-2	4.273182402E-5	5.557974581E-8
-4.140702453E-3	3.533000000E-2	4.143140614E-5	3.628738974E-8
-4.238900131E-3	3.633000000E-2	4.311898374E-5	5.443208934E-8
-4.221845376E-3	3.733000000E-2	4.300134993E-5	5.130032605E-8
-4.223254602E-3	3.833000000E-2	4.226353823E-5	4.908923843E-8
