Amplitude	Delay Time	width	Residual
3.269701636E-3	8.900000000E-4	4.245743632E-5	3.372883264E-8
2.548045174E-3	1.290000000E-3	3.954476971E-5	2.052076383E-8
1.984649246E-3	1.690000000E-3	3.711703111E-5	1.049946660E-8
1.530046039E-3	2.090000000E-3	3.610842980E-5	5.692086480E-9
1.176745871E-3	2.490000000E-3	3.521718041E-5	2.323215013E-9
9.069965452E-4	2.890000000E-3	3.564029451E-5	1.211942939E-9
7.152432816E-4	3.290000000E-3	3.497597355E-5	8.273045075E-10
5.545336575E-4	3.690000000E-3	3.437653275E-5	2.269620957E-10
4.366589255E-4	4.090000000E-3	3.374348798E-5	1.414218679E-10
3.391461588E-4	4.490000000E-3	3.404392609E-5	1.088786735E-10
2.651865296E-4	4.890000000E-3	3.303408970E-5	5.964803354E-11
1.991907070E-4	5.290000000E-3	2.989210202E-5	2.851459588E-11
1.639748179E-4	5.690000000E-3	2.890300919E-5	3.151515459E-11
1.276103676E-4	6.090000000E-3	3.204446408E-5	4.421774610E-11
9.769646342E-5	6.490000000E-3	2.916478592E-5	1.225668207E-11
7.715631254E-5	6.890000000E-3	2.677345126E-5	2.094744042E-11
6.244778148E-5	7.290000000E-3	2.924157254E-5	1.393571964E-11
4.528715790E-5	7.690000000E-3	2.502106149E-5	4.605803967E-11
